ts	dispatch_id	observation_passed	empirical_passed	divergence	verdict
2026-05-06T02:54:30.903Z	sandwich-dev-S67-BC-7-track-K	0	172	172	BLOCK
2026-05-06T03:44:49.184Z	sandwich-dev-S67-plan-011-P0	172	322	150	BLOCK
2026-05-06T04:14:19.753Z	sandwich-dev-S66-BC-7-track-J	92	92	0	LEGACY-RESOLVED-S66
2026-05-13T07:49:02.266Z	sandwich-dev-S66-BC-7-track-J	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T07:49:02.266Z	sandwich-dev-S237-A2-promote	0	RETRO-SKIP	RETRO-SKIP	attested-with-defects
2026-05-13T07:49:02.266Z	sandwich-dev-S237-a2-promotion	0	RETRO-SKIP	RETRO-SKIP	attested-with-defects
2026-05-13T07:49:02.266Z	sandwich-dev-S242-bear-quant-retry-impl	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T07:49:02.266Z	sandwich-dev-S244-lock-trap-fix	0	8	0	attested-retro
2026-05-13T07:49:02.266Z	sandwich-dev-S246-A-probe-ship	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T07:49:02.266Z	sandwich-dev-S246-B-strategy-f-fix	0	8	0	attested-retro
2026-05-13T07:49:02.266Z	sandwich-dev-S248-firing-test-spawn-context-lint	0	0	0	attested-retro
2026-05-13T09:17:26.682Z	sandwich-dev-S256-unattested-observations-rectifier	3	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T09:17:26.682Z	sandwich-dev-S257-per-hook-lint-triage	0	RETRO-SKIP	RETRO-SKIP	attested-with-defects
2026-05-13T09:17:26.682Z	sandwich-dev-S257-lint-triage	0	41	0	attested-retro
2026-05-13T10:36:50.913Z	general-purpose-S259-deepdive-TradingAgents	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T10:36:50.913Z	general-purpose-S259-deepdive-ai-hedge-fund	0	RETRO-SKIP	RETRO-SKIP	attested-with-defects
2026-05-13T10:36:50.913Z	general-purpose-S259-deepdive-nautilus_trader	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T10:36:50.913Z	general-purpose-S259-deepdive-Scrapling	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T10:36:50.913Z	general-purpose-S259-deepdive-crawl4ai	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T10:36:50.913Z	general-purpose-S259-deepdive-dexter	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-13T10:36:50.913Z	general-purpose-S259-deepdive-Vibe-Trading	0	RETRO-SKIP	RETRO-SKIP	attested-retro
2026-05-14T03:11:06Z	sandwich-verifier-S312-W0-1-fsm	NA	NA	NA	PASS-WITH-CONCERNS
2026-05-14T03:29:15Z	sandwich-verifier-S314-W0-1b	NA	NA	NA	PASS
2026-05-14T04:15:42Z	sandwich-verifier-S316-W0-2-python-determinism	NA	NA	NA	PASS-WITH-CONCERNS
2026-05-14T07:24:49.850Z	sandwich-dev-S237-A2-promote	0	322	322	BLOCK
2026-05-15T01:20:19.240Z	sandwich-dev-S320-plan015-S319b-batch-L	0	322	322	BLOCK
2026-05-15T05:09:22.750Z	sandwich-dev-S322b-plan016-batch-e-lint-zero	0	322	322	BLOCK
2026-05-15T12:15:00Z	FALSE-POSITIVE-DOCUMENTED	S322b-FP-mismatched-scope	NA	NA	NA	FP-DOC
2026-05-17T15:30:00Z	sandwich-verifier-S397-plan-041-g1-verify	NA	NA	NA	PASS
