timestamp	session_id	actor	model	tokens_in	tokens_out	cache_read	cache_create	cost_usd	hook_event
2026-05-06T07:52:49+07:00	0c44c54b-ea6a-445d-a08b-5ed305027be3	main	opus	13086	843988	47890260	2558995	183.311936	Stop
2026-05-06T08:00:32+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	main	opus	143	113202	7716147	1170109	42.006059	Stop
2026-05-06T08:00:37+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	sub:unknown	opus	143	113202	7716147	1170109	42.006059	SubagentStop
2026-05-06T08:04:13+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	main	opus	203	151247	13208792	1234452	54.305733	Stop
2026-05-06T08:04:15+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	sub:unknown	opus	203	151247	13208792	1234452	54.305733	SubagentStop
2026-05-06T08:24:37+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	sub:unknown	opus	203	151247	13208792	1234452	54.305733	SubagentStop
2026-05-06T08:44:13+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	main	opus	270	179484	15850827	1306235	61.733497	Stop
2026-05-06T08:44:15+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	sub:unknown	opus	270	179484	15850827	1306235	61.733497	SubagentStop
2026-05-06T08:48:30+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	sub:unknown	opus	270	179484	15850827	1306235	61.733497	SubagentStop
2026-05-06T09:16:51+07:00	95b9527e-ddad-4b3f-8f63-a262ec92fde0	main	opus	463	478442	48468652	1726692	140.968548	Stop
2026-05-06T09:18:23+07:00	fe7b497a-9b5f-468a-8f94-075def625022	sub:unknown	opus	30	2730	0	188680	3.742950	SubagentStop
2026-05-06T09:18:48+07:00	fe7b497a-9b5f-468a-8f94-075def625022	main	opus	32	6616	75472	230736	4.936188	Stop
2026-05-06T09:21:57+07:00	fe7b497a-9b5f-468a-8f94-075def625022	main	opus	6422	15640	495270	257285	6.836329	Stop
