adr_id	session	tier	status	promoted_to
D-001	unknown	IMPL	ACCEPTED	none
D-002	unknown	IMPL	ACCEPTED-REV-3	none
D-003	unknown	IMPL	ACCEPTED	none
D-004	unknown	IMPL	ACCEPTED	none
D-005	unknown	IMPL	ACCEPTED	none
D-006	unknown	IMPL	ACCEPTED	none
D-007	unknown	IMPL	ACCEPTED	none
D-008	unknown	IMPL	ACCEPTED	none
D-009	unknown	IMPL	ACCEPTED	none
D-010	unknown	IMPL	ACCEPTED-as-PROPOSAL	none
D-011	unknown	IMPL	ACCEPTED	none
D-012	unknown	IMPL	ACCEPTED	none
D-013	S35	IMPL	ACCEPTED	none
D-014	unknown	ARCH	ACCEPTED	none
D-015	S38	CHARTER	ACCEPTED	none
D-016	S38	CHARTER	ACCEPTED	none
D-017	S38	CHARTER	ACCEPTED	none
D-018	S43	CHARTER	ACCEPTED	none
D-019	S43	CHARTER	ACCEPTED	none
D-020	S43	CHARTER	ACCEPTED	none
D-021	S43	CHARTER	ACCEPTED	none
D-022	S43	CHARTER	ACCEPTED	none
D-023	S43	CHARTER	ACCEPTED	none
D-024	S43	CHARTER	ACCEPTED	none
D-025	S43	IMPL	ACCEPTED	none
D-026	S43	CHARTER	ACCEPTED	none
D-027	S45	ARCH	ACCEPTED	none
D-028	S48	CHARTER	ACCEPTED	none
D-029	S48	CHARTER	ACCEPTED	none
D-030	S48	CHARTER	ACCEPTED	none
D-031	S48	CHARTER	ACCEPTED	none
D-032	S51	ARCH	ACCEPTED	none
D-033	S173	CHARTER	ACCEPTED	none
D-034	S173	CHARTER	PROPOSED	none
D-035	S173	IMPL	ACCEPTED-AND-SHIPPED	none
D-036	S174	IMPL	ACCEPTED-AND-SHIPPED	none
D-037	S175	IMPL	ACCEPTED-AND-SHIPPED	none
D-038	S176	IMPL	ACCEPTED-AND-SHIPPED	none
D-039	S179	IMPL	ACCEPTED-AND-SHIPPED	none
D-040	S180	IMPL	ACCEPTED-AND-SHIPPED	none
D-041	S181	IMPL	ACCEPTED-AND-SHIPPED	none
D-042	S184	IMPL	ACCEPTED-AND-SHIPPED	none
D-043	S186	IMPL	ACCEPTED-AND-SHIPPED	none
D-044	S188	IMPL	SHIPPED-PENDING-PRODUCTION-VERIFICATION	none
D-045	S189	IMPL	ACCEPTED-AND-SHIPPED	none
