hook_name	wired_events	status	linked_lessons	firing_test_path	last_modified
adr-empirical-close-verify-spot-check.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/adr-empirical-close-verify-spot-check-fire-test.sh	see-fs
attach-portability-smoke.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/attach-portability-smoke-fire-test.sh	see-fs
auto-reboot-handoff-verify.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/auto-reboot-handoff-verify-fire-test.sh	see-fs
autonomous-block-enforcer.sh	UserPromptSubmit,PreToolUse	ACTIVE	none	scripts/hooks/firing-tests/autonomous-block-enforcer-fire-test.sh	see-fs
autonomous-stop-watchdog.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/autonomous-stop-watchdog-fire-test.sh	see-fs
bash-hook-lint.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/bash-hook-lint-fire-test.sh	see-fs
bootstrap-summary-renderer.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/bootstrap-summary-renderer-fire-test.sh	see-fs
budget-watchdog.sh	Stop,PostToolUse	ACTIVE	none	scripts/hooks/firing-tests/budget-watchdog-fire-test.sh	see-fs
charter-coherence-spot.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/charter-coherence-spot-fire-test.sh	see-fs
checkpoint-marker-cleanup-resume.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/checkpoint-marker-cleanup-resume-fire-test.sh	see-fs
checkpoint-write-end-turn-watchdog.sh	PreToolUse	ACTIVE	none	scripts/hooks/firing-tests/checkpoint-write-end-turn-watchdog-fire-test.sh	see-fs
checkpoint-write-marker.sh	PostToolUse	ACTIVE	none	scripts/hooks/firing-tests/checkpoint-write-marker-fire-test.sh	see-fs
component-telemetry.sh	SessionStart,PostToolUse,SubagentStop	ACTIVE	none	scripts/hooks/firing-tests/component-telemetry-fire-test.sh	see-fs
continue-injector-spawn.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/continue-injector-spawn-fire-test.sh	see-fs
correction-rate-aggregator.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/correction-rate-aggregator-fire-test.sh	see-fs
correction-rate-tracker.sh	UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/correction-rate-tracker-fire-test.sh	see-fs
cost-ledger-recorder.sh	Stop,SubagentStop	ACTIVE	none	scripts/hooks/firing-tests/cost-ledger-recorder-fire-test.sh	see-fs
diagnostic-pretooluse-stash.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/diagnostic-pretooluse-stash-fire-test.sh	see-fs
diagnostic-subagentstop-stash.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/diagnostic-subagentstop-stash-fire-test.sh	see-fs
dispatch-jsonl-backfill.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/dispatch-jsonl-backfill-fire-test.sh	see-fs
dispatch-jsonl-recorder.sh	PreToolUse,PostToolUse,SubagentStop	ACTIVE	none	scripts/hooks/firing-tests/dispatch-jsonl-recorder-fire-test.sh	see-fs
drift-rollup-daily.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/drift-rollup-daily-fire-test.sh	see-fs
drift-signals-D1-D9.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/drift-signals-D1-D9-fire-test.sh	see-fs
drift-signals-log-rotate.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/drift-signals-log-rotate-fire-test.sh	see-fs
effort-escalation-detector.sh	UserPromptSubmit,PreToolUse	ACTIVE	none	scripts/hooks/firing-tests/effort-escalation-detector-fire-test.sh	see-fs
escalation-engine.sh	SessionStart,UserPromptSubmit,Stop	ACTIVE	none	scripts/hooks/firing-tests/escalation-engine-fire-test.sh	see-fs
essential-routing-fields-verifier.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/essential-routing-fields-verifier-fire-test.sh	see-fs
file-pattern-hook-pre-flight-lint.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/file-pattern-hook-pre-flight-lint-fire-test.sh	see-fs
firing-test-spawn-context-lint.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/firing-test-spawn-context-lint-fire-test.sh	see-fs
ghost-work-audit.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/ghost-work-audit-fire-test.sh	see-fs
guardian-output-inspect-first.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/guardian-output-inspect-first-fire-test.sh	see-fs
harness-health-self-scan.sh	SessionStart,UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/harness-health-self-scan-fire-test.sh	see-fs
harness-recovery-dod-watchdog.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/harness-recovery-dod-watchdog-fire-test.sh	see-fs
hook-firing-counter.sh	UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/hook-firing-counter-fire-test.sh	see-fs
hook-log-path-canonical-detector.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/hook-log-path-canonical-detector-fire-test.sh	see-fs
idle-escape-detector.sh	SessionStart,UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/idle-escape-detector-fire-test.sh	see-fs
idle-state-advisory.sh	SessionStart,UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/idle-state-advisory-fire-test.sh	see-fs
in-flight-subagent-watcher.sh	SessionStart,UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/in-flight-subagent-watcher-fire-test.sh	see-fs
index-registry-renderer.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/index-registry-renderer-fire-test.sh	see-fs
learning-index-rebuild.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/learning-index-rebuild-fire-test.sh	see-fs
learning-loop-metric-check.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/learning-loop-metric-check-fire-test.sh	see-fs
learning-queue-sweeper.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/learning-queue-sweeper-fire-test.sh	see-fs
lesson-synthesis-watchdog.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/lesson-synthesis-watchdog-fire-test.sh	see-fs
loc-ceiling-check.sh	PostToolUse	ACTIVE	none	scripts/hooks/firing-tests/loc-ceiling-check-fire-test.sh	see-fs
lock-rc-probe.sh	ORPHAN	ORPHAN	none	MISSING	see-fs
memory-etl-processor.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/memory-etl-processor-fire-test.sh	see-fs
memory-routing-audit.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/memory-routing-audit-fire-test.sh	see-fs
metric-failure-mode-rate.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/metric-failure-mode-rate-fire-test.sh	see-fs
no-anthropic-sdk-d10.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/no-anthropic-sdk-d10-fire-test.sh	see-fs
observation-orphan-detector.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/observation-orphan-detector-fire-test.sh	see-fs
phase-status-coherence.sh	SessionStart,UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/phase-status-coherence-fire-test.sh	see-fs
post-dev-dispatch-attestation-check.sh	SubagentStop	ACTIVE	none	scripts/hooks/firing-tests/post-dev-dispatch-attestation-check-fire-test.sh	see-fs
post-tool-citation-grep.sh	PostToolUse	ACTIVE	none	scripts/hooks/firing-tests/post-tool-citation-grep-fire-test.sh	see-fs
pre-checkpoint-close-verifier.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/pre-checkpoint-close-verifier-fire-test.sh	see-fs
pre-clear-handoff-guard.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/pre-clear-handoff-guard-fire-test.sh	see-fs
pre-dispatch-adr-number-check.sh	PreToolUse	ACTIVE	none	scripts/hooks/firing-tests/pre-dispatch-adr-number-check-fire-test.sh	see-fs
precompact-thesis-state-dump.sh	PreCompact	ACTIVE	none	scripts/hooks/firing-tests/precompact-thesis-state-dump-fire-test.sh	see-fs
profile-template-auto-populate.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/profile-template-auto-populate-fire-test.sh	see-fs
project-md-adr-staleness.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/project-md-adr-staleness-fire-test.sh	see-fs
promotion-cycle-trigger.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/promotion-cycle-trigger-fire-test.sh	see-fs
proposal-bundle-advisor.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/proposal-bundle-advisor-fire-test.sh	see-fs
python-determinism-check.sh	Stop,PostToolUse	ACTIVE	none	scripts/hooks/firing-tests/python-determinism-check-fire-test.sh	see-fs
qa-answered-detector.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/qa-answered-detector-fire-test.sh	see-fs
qa-pending-auto-mover.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/qa-pending-auto-mover-fire-test.sh	see-fs
qa-pending-stale-mover.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/qa-pending-stale-mover-fire-test.sh	see-fs
qa-stale-urgent-escalator.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/qa-stale-urgent-escalator-fire-test.sh	see-fs
redact-secrets.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/redact-secrets-fire-test.sh	see-fs
research-scanner-output-validator.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/research-scanner-output-validator-fire-test.sh	see-fs
same-commit-rule.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/same-commit-rule-fire-test.sh	see-fs
scheduled-drift-detector-trigger.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/scheduled-drift-detector-trigger-fire-test.sh	see-fs
self-awareness-aggregate.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/self-awareness-aggregate-fire-test.sh	see-fs
session-end-checklist-linter.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/session-end-checklist-linter-fire-test.sh	see-fs
session-export-raw.sh	SessionEnd	ACTIVE	none	scripts/hooks/firing-tests/session-export-raw-fire-test.sh	see-fs
session-hooks-log-rotate.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/session-hooks-log-rotate-fire-test.sh	see-fs
session-start-bootstrap.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/session-start-bootstrap-fire-test.sh	see-fs
session-start-scan-unattested-observations.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/session-start-scan-unattested-observations-fire-test.sh	see-fs
settings-inline-env-prefix-detector.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/settings-inline-env-prefix-detector-fire-test.sh	see-fs
severity-classifier.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/severity-classifier-fire-test.sh	see-fs
single-claude-instance-lock.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/single-claude-instance-lock-fire-test.sh	see-fs
stale-prompt-detector.sh	UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/stale-prompt-detector-fire-test.sh	see-fs
sub-plan-completion-coherence.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/sub-plan-completion-coherence-fire-test.sh	see-fs
subagent-budget-classifier.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/subagent-budget-classifier-fire-test.sh	see-fs
subagent-stop-logger.sh	SubagentStop	ACTIVE	none	scripts/hooks/firing-tests/subagent-stop-logger-fire-test.sh	see-fs
sync-grilling-call.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/sync-grilling-call-fire-test.sh	see-fs
sync-grilling-trigger.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/sync-grilling-trigger-fire-test.sh	see-fs
sync-tracker-auto-update.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/sync-tracker-auto-update-fire-test.sh	see-fs
sync-tracker-render.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/sync-tracker-render-fire-test.sh	see-fs
sync-tracker-update.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/sync-tracker-update-fire-test.sh	see-fs
taskcompleted-audit.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/taskcompleted-audit-fire-test.sh	see-fs
telegram-push.sh	ORPHAN	ORPHAN	none	scripts/hooks/firing-tests/telegram-push-fire-test.sh	see-fs
telemetry-rotate.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/telemetry-rotate-fire-test.sh	see-fs
tier1-bloat-check.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/tier1-bloat-check-fire-test.sh	see-fs
tool-call-first-lint.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/tool-call-first-lint-fire-test.sh	see-fs
tracking-retention.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/tracking-retention-fire-test.sh	see-fs
urgent-md-rotate.sh	Stop	ACTIVE	none	scripts/hooks/firing-tests/urgent-md-rotate-fire-test.sh	see-fs
userprompt-invariants-injector.sh	UserPromptSubmit	ACTIVE	none	scripts/hooks/firing-tests/userprompt-invariants-injector-fire-test.sh	see-fs
vendor-api-probe.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/vendor-api-probe-fire-test.sh	see-fs
working-memory-budget-audit.sh	SessionStart	ACTIVE	none	scripts/hooks/firing-tests/working-memory-budget-audit-fire-test.sh	see-fs
write-vs-edit-guard.sh	PreToolUse	ACTIVE	none	scripts/hooks/firing-tests/write-vs-edit-guard-fire-test.sh	see-fs
