lesson_id	date	severity	hook_codified	hook_path	mistake_link	charter_promoted
AP-S2-3	2026-04-29	high	NO	none	none	NO
L-2026-04-23-102	2026-04-23	critical	NO	none	none	NO
L-2026-04-23-120	2026-04-23	high	NO	none	none	NO
L-2026-04-23-128	2026-04-23	high	NO	none	none	NO
L-2026-04-23-136	2026-04-23	medium	NO	none	none	NO
L-2026-04-29-148	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-156	2026-04-29	low	NO	none	none	NO
L-2026-04-29-164	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-180	2026-04-29	high	NO	none	none	NO
L-2026-04-29-188	2026-04-29	critical	NO	none	none	NO
L-2026-04-29-196	2026-04-29	low	NO	none	none	NO
L-2026-04-29-204	2026-04-29	high	NO	none	none	NO
L-2026-04-29-212	2026-04-29	high	NO	none	none	NO
L-2026-04-29-220	2026-04-29	low	NO	none	none	NO
L-2026-04-29-228	2026-04-29	high	NO	none	none	NO
L-2026-04-29-236	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-245	2026-04-29	high	NO	none	none	NO
L-2026-04-29-257	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-265	2026-04-29	HIGH	NO	none	none	NO
L-2026-04-29-273	2026-04-29	low	NO	none	none	NO
L-2026-04-29-281	2026-04-29	low	NO	none	none	NO
L-2026-04-29-289	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-297	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-305	2026-04-29	high	NO	none	none	NO
L-2026-04-29-313	2026-04-29	high	NO	none	none	NO
L-2026-04-29-321	2026-04-29	high	NO	none	none	NO
L-2026-04-29-329	2026-04-29	high	NO	none	none	NO
L-2026-04-29-342	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-351	2026-04-29	low	NO	none	none	NO
L-2026-04-29-360	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-369	2026-04-29	medium	NO	none	none	NO
L-2026-04-29-377	2026-04-29	high	NO	none	none	NO
L-2026-05-05-453	2026-05-05	HIGH	NO	none	none	NO
L-2026-05-05-463	2026-05-05	HIGH	NO	none	none	NO
L-2026-05-05-476	2026-05-05	CRITICAL	NO	none	none	NO
L-2026-05-05-489	2026-05-05	LOW	NO	none	none	NO
L-2026-05-05-498	2026-05-05	HIGH	NO	none	none	NO
L-2026-05-10-36	2026-05-10	high	NO	none	none	NO
L-2026-05-10-47	2026-05-10	high.	NO	none	none	NO
L-2026-05-10-65	2026-05-10	high.	NO	none	none	NO
L-S173-1	2026-05-07	medium.	NO	none	none	NO
L-S174-1	2026-05-07	medium.	NO	none	none	NO
L-S176-1	2026-05-07	high.	YES		none	NO
L-S240-5	2026-05-10	high.	YES		none	NO
L-S247-1	2026-05-11	high.	YES		none	NO
